industry_code,industry_name,jobs_2011,jobs_2023,change,pct_change
CNS16,Health Care & Social Assistance,39187,55848,16661,42.51665093015541
CNS18,Accommodation & Food Services,31263,40797,9534,30.49611361673544
CNS08,Transportation & Warehousing,14357,23022,8665,60.35383436651111
CNS14,Administrative & Support & Waste Management,24240,30407,6167,25.44141914191419
CNS12,"Professional, Scientific & Technical Services",11323,14829,3506,30.96352556742913
CNS06,Wholesale Trade,11469,14009,2540,22.146656203679484
CNS17,"Arts, Entertainment & Recreation",2035,4533,2498,122.75184275184274
CNS04,Construction,15558,17278,1720,11.05540557912328
CNS13,Management of Companies & Enterprises,561,1956,1395,248.6631016042781
CNS07,Retail Trade,41864,42903,1039,2.481845977450793
CNS19,Other Services (except Public Admin),6653,7440,787,11.829249962422967
CNS09,Information,6885,7404,519,7.538126361655774
CNS03,Utilities,2380,2660,280,11.76470588235294
CNS11,Real Estate & Rental & Leasing,5665,5659,-6,-0.1059135039717564
CNS01,"Agriculture, Forestry, Fishing & Hunting",1012,967,-45,-4.446640316205533
CNS02,"Mining, Quarrying, Oil & Gas",148,58,-90,-60.810810810810814
CNS05,Manufacturing,17643,17514,-129,-0.7311681686787961
CNS10,Finance & Insurance,9314,9175,-139,-1.4923770667811895
CNS20,Public Administration,14527,12252,-2275,-15.66049425208233
CNS15,Educational Services,41682,38555,-3127,-7.502039249556164
