Emp,FrmJbGn,FrmJbLs,year,quarter,sex,agegrp,ownercode,seasonadj,industry,state,county,net_job_change
219882,12491,9203,2011,2,0,A00,A05,U,00,48,141,3288
224459,11897,8756,2012,2,0,A00,A05,U,00,48,141,3141
227308,11146,9360,2013,2,0,A00,A05,U,00,48,141,1786
234463,10487,9837,2014,2,0,A00,A05,U,00,48,141,650
236250,12866,8914,2015,2,0,A00,A05,U,00,48,141,3952
245470,12426,9416,2016,2,0,A00,A05,U,00,48,141,3010
250804,10783,9738,2017,2,0,A00,A05,U,00,48,141,1045
252707,11895,9291,2018,2,0,A00,A05,U,00,48,141,2604
258637,12067,9316,2019,2,0,A00,A05,U,00,48,141,2751
252660,10567,15746,2020,2,0,A00,A05,U,00,48,141,-5179
257019,14918,10373,2021,2,0,A00,A05,U,00,48,141,4545
275085,15786,9691,2022,2,0,A00,A05,U,00,48,141,6095
285053,13338,10971,2023,2,0,A00,A05,U,00,48,141,2367
