w_tract,industry_code,jobs_2011,industry_name,jobs_2023,change,pct_change
48141000106,CNS07,173.0,Retail Trade,246,73.0,42.19653179190752
48141000106,CNS16,40.0,Health Care & Social Assistance,79,39.0,97.5
48141000106,CNS09,16.0,Information,48,32.0,200.0
48141000106,CNS18,63.0,Accommodation & Food Services,86,23.0,36.507936507936506
48141000106,CNS12,0.0,"Professional, Scientific & Technical Services",22,22.0,
48141000106,CNS15,8.0,Educational Services,23,15.0,187.5
48141000106,CNS10,2.0,Finance & Insurance,12,10.0,500.0
48141000106,CNS14,9.0,Administrative & Support & Waste Management,16,7.0,77.77777777777779
48141000106,CNS06,0.0,Wholesale Trade,6,6.0,
48141000106,CNS11,0.0,Real Estate & Rental & Leasing,2,2.0,
48141000106,CNS01,0.0,"Agriculture, Forestry, Fishing & Hunting",0,0.0,
48141000106,CNS02,0.0,"Mining, Quarrying, Oil & Gas",0,0.0,
48141000106,CNS03,0.0,Utilities,0,0.0,
48141000106,CNS05,0.0,Manufacturing,0,0.0,
48141000106,CNS13,0.0,Management of Companies & Enterprises,0,0.0,
48141000106,CNS19,5.0,Other Services (except Public Admin),4,-1.0,-20.0
48141000106,CNS20,1.0,Public Administration,0,-1.0,-100.0
48141000106,CNS04,5.0,Construction,3,-2.0,-40.0
48141000106,CNS17,3.0,"Arts, Entertainment & Recreation",0,-3.0,-100.0
48141000106,CNS08,9.0,Transportation & Warehousing,0,-9.0,-100.0
48141000107,CNS16,13.0,Health Care & Social Assistance,244,231.0,1776.923076923077
48141000107,CNS07,0.0,Retail Trade,2,2.0,
48141000107,CNS01,0.0,"Agriculture, Forestry, Fishing & Hunting",0,0.0,
48141000107,CNS02,0.0,"Mining, Quarrying, Oil & Gas",0,0.0,
48141000107,CNS03,0.0,Utilities,0,0.0,
48141000107,CNS05,0.0,Manufacturing,0,0.0,
48141000107,CNS06,0.0,Wholesale Trade,0,0.0,
48141000107,CNS08,0.0,Transportation & Warehousing,0,0.0,
48141000107,CNS09,0.0,Information,0,0.0,
48141000107,CNS11,0.0,Real Estate & Rental & Leasing,0,0.0,
48141000107,CNS12,2.0,"Professional, Scientific & Technical Services",2,0.0,0.0
48141000107,CNS13,0.0,Management of Companies & Enterprises,0,0.0,
48141000107,CNS14,4.0,Administrative & Support & Waste Management,4,0.0,0.0
48141000107,CNS15,0.0,Educational Services,0,0.0,
48141000107,CNS17,0.0,"Arts, Entertainment & Recreation",0,0.0,
48141000107,CNS18,0.0,Accommodation & Food Services,0,0.0,
48141000107,CNS20,0.0,Public Administration,0,0.0,
48141000107,CNS10,2.0,Finance & Insurance,0,-2.0,-100.0
48141000107,CNS19,2.0,Other Services (except Public Admin),0,-2.0,-100.0
48141000107,CNS04,19.0,Construction,14,-5.0,-26.31578947368421
48141000108,CNS04,15.0,Construction,102,87.0,580.0
48141000108,CNS11,15.0,Real Estate & Rental & Leasing,92,77.0,513.3333333333334
48141000108,CNS18,4.0,Accommodation & Food Services,20,16.0,400.0
48141000108,CNS12,0.0,"Professional, Scientific & Technical Services",9,9.0,
48141000108,CNS01,0.0,"Agriculture, Forestry, Fishing & Hunting",0,0.0,
48141000108,CNS03,0.0,Utilities,0,0.0,
48141000108,CNS07,26.0,Retail Trade,26,0.0,0.0
48141000108,CNS08,0.0,Transportation & Warehousing,0,0.0,
48141000108,CNS09,0.0,Information,0,0.0,
48141000108,CNS10,0.0,Finance & Insurance,0,0.0,
48141000108,CNS13,0.0,Management of Companies & Enterprises,0,0.0,
48141000108,CNS14,0.0,Administrative & Support & Waste Management,0,0.0,
48141000108,CNS15,0.0,Educational Services,0,0.0,
48141000108,CNS17,0.0,"Arts, Entertainment & Recreation",0,0.0,
48141000108,CNS02,1.0,"Mining, Quarrying, Oil & Gas",0,-1.0,-100.0
48141000108,CNS16,2.0,Health Care & Social Assistance,0,-2.0,-100.0
48141000108,CNS20,3.0,Public Administration,0,-3.0,-100.0
48141000108,CNS19,23.0,Other Services (except Public Admin),13,-10.0,-43.47826086956522
48141000108,CNS05,55.0,Manufacturing,7,-48.0,-87.27272727272727
48141000108,CNS06,76.0,Wholesale Trade,2,-74.0,-97.36842105263158
48141000109,CNS14,3.0,Administrative & Support & Waste Management,13,10.0,333.33333333333337
48141000109,CNS10,0.0,Finance & Insurance,2,2.0,
48141000109,CNS01,0.0,"Agriculture, Forestry, Fishing & Hunting",0,0.0,
48141000109,CNS02,0.0,"Mining, Quarrying, Oil & Gas",0,0.0,
48141000109,CNS03,0.0,Utilities,0,0.0,
48141000109,CNS05,0.0,Manufacturing,0,0.0,
48141000109,CNS06,0.0,Wholesale Trade,0,0.0,
48141000109,CNS07,0.0,Retail Trade,0,0.0,
48141000109,CNS08,0.0,Transportation & Warehousing,0,0.0,
48141000109,CNS09,0.0,Information,0,0.0,
48141000109,CNS11,0.0,Real Estate & Rental & Leasing,0,0.0,
48141000109,CNS12,0.0,"Professional, Scientific & Technical Services",0,0.0,
48141000109,CNS13,0.0,Management of Companies & Enterprises,0,0.0,
48141000109,CNS15,0.0,Educational Services,0,0.0,
48141000109,CNS16,0.0,Health Care & Social Assistance,0,0.0,
48141000109,CNS17,0.0,"Arts, Entertainment & Recreation",0,0.0,
48141000109,CNS18,0.0,Accommodation & Food Services,0,0.0,
48141000109,CNS19,0.0,Other Services (except Public Admin),0,0.0,
48141000109,CNS20,0.0,Public Administration,0,0.0,
